campaign_id,campaign_name,channel,campaign_type,budget,impressions,clicks,conversions,revenue,ctr,cpc,roi,region
C001,Spring Launch,Social Media,Brand Awareness,5000,120000,3600,180,22000,3.0,1.39,4.4,North
C002,Email Promo Q1,Email,Promotional,2000,45000,2250,315,14500,5.0,0.89,7.25,South
C003,Search Retarget,Paid Search,Retargeting,8000,95000,2850,228,19000,3.0,2.81,2.38,East
C004,Display Brand,Display,Brand Awareness,3500,200000,1400,56,4200,0.7,2.5,1.2,West
C005,Influencer Drive,Social Media,Influencer,6000,180000,7200,432,38000,4.0,0.83,6.33,North
C006,Newsletter May,Email,Promotional,1500,38000,1900,266,12500,5.0,0.79,8.33,South
C007,Google Search,Paid Search,Performance,10000,110000,4400,352,35000,4.0,2.27,3.5,East
C008,FB Awareness,Social Media,Brand Awareness,4000,95000,2850,114,8500,3.0,1.4,2.13,West
C009,Summer Sale,Email,Seasonal,2500,52000,2860,400,28000,5.5,0.88,11.2,North
C010,YouTube Ads,Video,Brand Awareness,7000,250000,5000,200,15000,2.0,1.4,2.14,South
C011,Affiliate Q2,Affiliate,Performance,3000,70000,2800,336,21000,4.0,1.07,7.0,East
C012,TikTok Launch,Social Media,Influencer,5500,320000,12800,640,52000,4.0,0.43,9.45,West
C013,Loyalty Email,Email,Retention,1000,22000,1320,264,18500,6.0,0.76,18.5,North
C014,Bing Search,Paid Search,Performance,4000,48000,1920,154,12000,4.0,2.08,3.0,South
C015,Display Retarget,Display,Retargeting,2500,85000,1275,102,9500,1.5,1.96,3.8,East
